Scientific Name,Species Name,BC List,COSEWIC,Francois Lake,Lower Chilako,Lower Salmon,Morkill,Nechako,Tabor,Upper Fraser,Willow
Salvelinus confluentus,Bull Trout,Blue,SC (Nov 2012),Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes
Salvelinus fontinalis,Brook Trout,Exotic,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA
Salvelinus malma,Dolly Varden,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Salvelinus namaycush,Lake Trout,Yellow,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes
NA,All Salmon,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
NA,Arctic Char,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
NA,"Char, General",NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA
NA,Chub (General),NA,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes
NA,Dace (General),NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
NA,Lamprey (General),NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA
NA,Minnow (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes
NA,Northern Pearl Dace,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA
NA,Salmon (General),NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes
NA,Sculpin (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NA,Stickleback (General),NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
NA,Sucker (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NA,Whitefish (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
